,year,week,provinceID,SMN,SMT,VCI,TCI,VHI
0,1982,01,27,0.083,261.7,57.78,41.22,49.5
1,1982,02,27,0.092,264.4,65.82,31.42,48.62
2,1982,03,27,0.097,265.74,70.62,27.11,48.86
3,1982,04,27,0.101,267.73,71.82,20.73,46.28
4,1982,05,27,0.102,268.87,65.88,21.34,43.61
5,1982,06,27,0.103,269.8,58.54,24.88,41.71
6,1982,07,27,0.104,271.19,52.98,24.51,38.74
7,1982,08,27,0.107,272.53,50.3,24.93,37.61
8,1982,09,27,0.108,273.73,47.48,26.48,36.98
9,1982,10,27,0.109,275.0,43.63,29.24,36.44
10,1982,11,27,0.117,276.51,41.24,29.63,35.44
11,1982,12,27,0.127,278.0,38.89,36.62,37.76
12,1982,13,27,0.135,279.41,33.32,43.09,38.21
13,1982,14,27,0.145,280.79,26.13,51.57,38.85
14,1982,15,27,0.154,281.85,17.49,65.61,41.55
15,1982,16,27,0.177,283.32,16.35,74.95,45.65
16,1982,17,27,0.211,285.27,18.91,78.06,48.48
17,1982,18,27,0.263,287.61,28.29,73.07,50.68
18,1982,19,27,0.316,289.67,37.51,65.76,51.64
19,1982,20,27,0.359,291.13,43.74,62.27,53.0
20,1982,21,27,0.390,291.61,46.89,64.27,55.58
21,1982,22,27,0.407,291.69,46.95,66.31,56.63
22,1982,23,27,0.415,291.8,44.97,67.35,56.16
23,1982,24,27,0.416,291.89,40.51,69.0,54.76
24,1982,25,27,0.413,291.89,36.05,72.51,54.28
25,1982,26,27,0.410,291.91,33.23,74.04,53.63
26,1982,27,27,0.412,292.34,34.11,72.15,53.13
27,1982,28,27,0.417,292.91,39.42,70.03,54.73
28,1982,29,27,0.425,293.47,48.36,67.0,57.68
29,1982,30,27,0.424,293.79,52.55,65.83,59.19
30,1982,31,27,0.422,294.09,54.26,61.41,57.83
31,1982,32,27,0.413,293.95,52.18,60.72,56.45
32,1982,33,27,0.410,293.8,54.53,56.83,55.68
33,1982,34,27,0.407,293.78,59.29,45.73,52.51
34,1982,35,27,0.400,293.11,62.62,39.74,51.18
35,1982,36,27,0.388,292.19,65.48,35.71,50.6
36,1982,37,27,0.371,291.16,65.99,32.8,49.39
37,1982,38,27,0.352,289.5,65.91,36.5,51.2
38,1982,39,27,0.328,287.61,64.37,39.22,51.8
39,1982,40,27,0.295,285.82,58.33,38.07,48.2
40,1982,41,27,0.259,284.11,49.38,33.57,41.47
41,1982,42,27,0.231,282.39,46.94,30.84,38.89
42,1982,43,27,0.204,280.33,45.87,34.26,40.06
43,1982,44,27,0.180,278.43,45.9,26.99,36.44
44,1982,45,27,0.150,276.31,40.45,23.89,32.17
45,1982,46,27,0.127,274.15,39.99,23.41,31.7
46,1982,47,27,0.108,272.12,41.23,24.77,33.0
47,1982,48,27,0.087,269.31,35.31,32.99,34.15
48,1982,49,27,0.071,266.99,27.18,37.84,32.51
49,1982,50,27,0.061,265.48,22.19,37.57,29.88
50,1982,51,27,0.059,264.21,24.0,36.19,30.09
51,1982,52,27,0.055,263.49,24.37,35.02,29.69
52,1983,01,27,0.055,263.49,28.72,33.26,30.99
53,1983,02,27,0.057,264.21,30.07,31.85,30.96
54,1983,03,27,0.059,265.18,33.72,29.17,31.45
55,1983,04,27,0.063,266.19,37.05,27.57,32.31
56,1983,05,27,0.063,266.34,34.09,32.67,33.38
57,1983,06,27,0.059,266.47,27.78,39.2,33.49
58,1983,07,27,0.061,267.15,25.82,42.03,33.92
59,1983,08,27,0.064,267.79,25.71,46.08,35.89
60,1983,09,27,0.070,268.71,26.79,49.29,38.04
61,1983,10,27,0.083,270.53,29.52,49.73,39.63
62,1983,11,27,0.099,272.8,31.51,47.59,39.55
63,1983,12,27,0.116,275.34,33.04,49.77,41.4
64,1983,13,27,0.136,277.91,33.91,51.25,42.58
65,1983,14,27,0.160,280.48,34.8,53.53,44.17
66,1983,15,27,0.192,283.29,38.57,53.82,46.2
67,1983,16,27,0.225,285.64,42.26,54.76,48.51
68,1983,17,27,0.261,288.09,44.7,51.22,47.96
69,1983,18,27,0.295,289.89,44.84,49.52,47.18
70,1983,19,27,0.326,291.23,42.94,49.11,46.03
71,1983,20,27,0.351,292.44,40.13,48.2,44.16
72,1983,21,27,0.369,292.96,36.57,50.27,43.42
73,1983,22,27,0.386,293.61,36.78,47.06,41.92
74,1983,23,27,0.399,293.89,36.87,46.5,41.69
75,1983,24,27,0.397,293.36,30.13,53.67,41.9
76,1983,25,27,0.394,293.23,24.85,57.89,41.37
77,1983,26,27,0.397,293.53,24.59,55.67,40.13
78,1983,27,27,0.394,293.51,22.33,58.23,40.28
79,1983,28,27,0.383,293.14,18.11,67.24,42.68
80,1983,29,27,0.369,292.82,15.39,75.2,45.29
81,1983,30,27,0.357,292.77,14.53,78.18,46.35
82,1983,31,27,0.359,292.83,18.37,76.5,47.44
83,1983,32,27,0.363,292.97,22.43,72.76,47.6
84,1983,33,27,0.363,293.27,26.17,63.81,44.99
85,1983,34,27,0.362,293.59,32.1,48.41,40.25
86,1983,35,27,0.362,294.01,41.16,27.42,34.29
87,1983,36,27,0.350,293.4,45.11,20.54,32.83
88,1983,37,27,0.329,292.13,44.81,20.91,32.86
89,1983,38,27,0.309,290.72,43.8,20.64,32.22
90,1983,39,27,0.286,288.56,42.6,26.45,34.52
91,1983,40,27,0.260,286.41,38.42,30.56,34.49
92,1983,41,27,0.231,284.17,32.61,32.83,32.72
93,1983,42,27,0.202,281.79,28.76,37.06,32.91
94,1983,43,27,0.172,279.73,25.66,39.52,32.59
95,1983,44,27,0.141,276.92,21.94,40.7,31.32
96,1983,45,27,0.117,273.89,18.46,42.93,30.7
97,1983,46,27,0.096,270.64,16.87,46.66,31.76
98,1983,47,27,0.081,268.02,18.58,49.0,33.79
99,1983,48,27,0.073,266.52,23.4,47.76,35.58
100,1983,49,27,0.065,265.08,22.21,46.96,34.59
101,1983,50,27,0.063,264.45,23.9,42.17,33.03
102,1983,51,27,0.060,263.55,24.93,38.72,31.83
103,1983,52,27,0.056,262.58,24.72,38.34,31.53
104,1984,01,27,0.054,261.83,27.83,39.88,33.85
105,1984,02,27,0.054,261.31,26.98,44.39,35.69
106,1984,03,27,0.052,260.46,27.22,50.14,38.68
107,1984,04,27,0.051,260.21,26.22,53.93,40.07
108,1984,05,27,0.048,259.97,22.12,59.95,41.04
109,1984,06,27,0.046,259.96,18.27,65.61,41.94
110,1984,07,27,0.046,259.75,16.08,72.03,44.05
111,1984,08,27,0.046,259.9,14.42,77.89,46.15
112,1984,09,27,0.046,261.34,13.23,79.06,46.14
113,1984,10,27,0.052,263.66,12.59,78.28,45.44
114,1984,11,27,0.064,267.33,13.48,72.19,42.84
115,1984,12,27,0.081,271.14,15.05,69.65,42.35
116,1984,13,27,0.101,275.69,15.4,63.44,39.42
117,1984,14,27,0.126,279.74,16.54,58.74,37.64
118,1984,15,27,0.157,283.2,19.43,54.85,37.14
119,1984,16,27,0.186,285.69,21.25,54.46,37.85
120,1984,17,27,0.217,287.84,22.11,54.14,38.13
121,1984,18,27,0.253,289.54,23.16,53.46,38.31
122,1984,19,27,0.287,290.57,23.07,56.52,39.79
123,1984,20,27,0.317,291.0,22.69,63.71,43.2
124,1984,21,27,0.341,290.95,22.78,70.92,46.85
125,1984,22,27,0.356,290.38,21.75,78.8,50.27
126,1984,23,27,0.367,289.83,20.91,85.85,53.38
127,1984,24,27,0.379,289.83,22.45,88.93,55.69
128,1984,25,27,0.390,290.03,24.82,91.58,58.2
129,1984,26,27,0.393,289.99,24.97,94.68,59.82
130,1984,27,27,0.397,290.25,26.53,95.9,61.21
131,1984,28,27,0.404,290.89,32.45,94.8,63.62
132,1984,29,27,0.407,291.5,37.96,92.15,65.05
133,1984,30,27,0.403,291.92,40.19,89.24,64.71
134,1984,31,27,0.386,291.72,33.11,90.39,61.75
135,1984,32,27,0.367,291.47,24.82,91.11,57.97
136,1984,33,27,0.350,291.17,18.23,90.24,54.23
137,1984,34,27,0.333,290.66,15.07,87.73,51.4
138,1984,35,27,0.308,289.56,11.6,87.68,49.64
139,1984,36,27,0.283,288.25,11.33,84.78,48.05
140,1984,37,27,0.261,287.22,11.24,80.72,45.98
141,1984,38,27,0.237,285.77,8.83,84.34,46.58
142,1984,39,27,0.213,284.08,6.49,85.93,46.21
143,1984,40,27,0.199,283.02,7.17,74.02,40.6
144,1984,41,27,0.191,281.54,10.35,65.03,37.69
145,1984,42,27,0.183,280.14,17.43,56.23,36.83
146,1984,43,27,0.168,278.47,23.86,52.7,38.28
147,1984,44,27,0.146,275.77,25.55,51.57,38.56
148,1984,45,27,0.129,272.32,27.86,55.04,41.45
149,1984,46,27,0.116,269.77,33.25,51.5,42.38
150,1984,47,27,0.109,267.92,44.07,47.99,46.03
151,1984,48,27,0.107,266.42,54.54,46.8,50.67
152,1984,49,27,0.106,267.11,59.39,36.85,48.12
153,1985,09,27,0.069,263.54,22.66,62.2,42.43
154,1985,10,27,0.066,263.43,19.23,71.16,45.2
155,1985,11,27,0.072,266.59,17.31,69.44,43.38
156,1985,12,27,0.087,270.92,17.71,67.85,42.78
157,1985,13,27,0.113,276.43,21.75,58.12,39.93
158,1985,14,27,0.146,280.97,26.7,49.45,38.08
159,1985,15,27,0.179,284.54,31.62,43.22,37.42
160,1985,16,27,0.214,287.28,35.87,39.66,37.77
161,1985,17,27,0.248,289.4,37.63,38.37,38.0
162,1985,18,27,0.277,290.5,35.08,43.43,39.26
163,1985,19,27,0.309,291.67,33.97,44.91,39.44
164,1985,20,27,0.334,292.68,30.42,46.01,38.22
165,1985,21,27,0.352,292.59,26.66,54.28,40.47
166,1985,22,27,0.366,292.33,24.26,59.88,42.07
167,1985,23,27,0.373,291.88,21.43,66.44,43.93
168,1985,24,27,0.375,291.28,18.26,75.02,46.64
169,1985,25,27,0.382,291.31,18.6,78.71,48.66
170,1985,26,27,0.388,291.64,20.39,77.08,48.73
171,1985,27,27,0.394,292.07,22.83,75.5,49.17
172,1985,28,27,0.395,292.49,25.63,75.48,50.55
173,1985,29,27,0.399,293.07,32.97,72.2,52.58
174,1985,30,27,0.403,293.71,40.05,66.76,53.41
175,1985,31,27,0.405,294.58,43.7,55.45,49.57
176,1985,32,27,0.410,295.24,50.2,44.53,47.36
177,1985,33,27,0.408,295.56,53.3,34.0,43.65
178,1985,34,27,0.393,295.24,50.88,26.02,38.45
179,1985,35,27,0.375,294.27,48.37,24.13,36.25
180,1985,36,27,0.356,292.59,48.41,30.83,39.62
181,1985,37,27,0.332,290.65,46.73,39.05,42.89
182,1985,38,27,0.310,288.86,44.79,45.01,44.9
183,1985,39,27,0.287,286.69,43.39,52.07,47.73
184,1985,40,27,0.260,284.28,39.08,58.4,48.74
185,1985,41,27,0.234,281.99,34.55,59.69,47.12
186,1985,42,27,0.209,279.65,33.09,61.82,47.46
187,1985,43,27,0.185,277.17,33.78,65.6,49.69
188,1985,44,27,0.162,274.33,34.77,64.97,49.87
189,1985,45,27,0.137,270.86,31.49,66.41,48.95
190,1985,46,27,0.100,266.36,19.54,73.15,46.34
191,1985,47,27,0.069,262.79,8.51,76.77,42.64
192,1985,48,27,0.050,259.16,4.06,82.66,43.36
193,1985,49,27,0.043,256.17,3.73,85.62,44.68
194,1985,50,27,0.039,253.4,2.08,88.57,45.32
195,1985,51,27,0.035,251.13,1.8,90.72,46.26
196,1985,52,27,0.031,249.76,1.73,91.05,46.39
197,1986,01,27,0.029,250.44,1.42,88.6,45.01
198,1986,02,27,0.030,253.05,2.69,82.15,42.42
199,1986,03,27,0.030,255.68,5.26,73.82,39.54
200,1986,04,27,0.029,257.31,6.83,69.03,37.93
201,1986,05,27,0.030,258.13,7.29,69.46,38.37
202,1986,06,27,0.031,259.22,7.2,70.15,38.67
203,1986,07,27,0.032,260.78,6.91,69.28,38.09
204,1986,08,27,0.034,262.96,7.55,66.64,37.1
205,1986,09,27,0.039,265.34,9.17,63.1,36.13
206,1986,10,27,0.047,268.02,9.6,59.6,34.6
207,1986,11,27,0.062,271.4,12.2,53.15,32.68
208,1986,12,27,0.084,275.33,16.3,49.07,32.69
209,1986,13,27,0.114,279.8,22.38,40.2,31.29
210,1986,14,27,0.154,283.92,31.19,29.04,30.11
211,1986,15,27,0.200,287.53,42.87,18.1,30.49
212,1986,16,27,0.243,290.11,51.27,13.43,32.35
213,1986,17,27,0.289,292.15,58.31,10.74,34.53
214,1986,18,27,0.337,293.74,65.06,9.22,37.14
215,1986,19,27,0.374,295.14,67.02,8.31,37.66
216,1986,20,27,0.404,296.46,67.23,6.56,36.9
217,1986,21,27,0.425,297.17,66.08,7.72,36.9
218,1986,22,27,0.441,297.46,66.28,9.1,37.69
219,1986,23,27,0.446,297.71,63.23,8.97,36.1
220,1986,24,27,0.445,297.58,56.85,10.25,33.55
221,1986,25,27,0.440,297.47,51.13,11.23,31.18
222,1986,26,27,0.429,297.08,43.06,14.96,29.01
223,1986,27,27,0.418,296.45,35.78,22.69,29.24
224,1986,28,27,0.404,296.1,29.83,29.2,29.51
225,1986,29,27,0.388,295.87,25.31,35.17,30.24
226,1986,30,27,0.377,295.7,24.17,41.49,32.83
227,1986,31,27,0.369,295.46,22.29,44.43,33.36
228,1986,32,27,0.362,294.66,20.5,51.73,36.11
229,1986,33,27,0.359,294.18,22.08,51.93,37.01
230,1986,34,27,0.350,293.1,24.04,55.48,39.76
231,1986,35,27,0.342,292.03,29.19,55.47,42.33
232,1986,36,27,0.329,290.64,34.11,56.31,45.21
