,year,week,provinceID,SMN,SMT,VCI,TCI,VHI
0,1982,01,7,0.070,255.79,27.63,78.38,53.0
1,1982,02,7,0.073,257.68,30.82,71.96,51.39
2,1982,03,7,0.077,259.75,33.88,64.97,49.42
3,1982,04,7,0.080,261.9,34.23,58.57,46.4
4,1982,05,7,0.082,263.84,32.05,53.87,42.96
5,1982,06,7,0.083,265.41,29.69,51.25,40.47
6,1982,07,7,0.089,267.1,30.04,48.41,39.22
7,1982,08,7,0.095,268.85,31.34,47.04,39.19
8,1982,09,7,0.101,270.94,31.32,46.34,38.83
9,1982,10,7,0.108,273.46,31.52,44.29,37.91
10,1982,11,7,0.117,275.6,31.46,44.28,37.87
11,1982,12,7,0.129,277.57,31.71,46.79,39.25
12,1982,13,7,0.138,278.84,29.18,50.77,39.98
13,1982,14,7,0.147,279.42,24.5,58.92,41.71
14,1982,15,7,0.151,279.89,17.62,67.75,42.68
15,1982,16,7,0.164,281.07,13.68,72.6,43.14
16,1982,17,7,0.187,282.77,12.8,72.57,42.69
17,1982,18,7,0.217,284.86,14.22,68.78,41.5
18,1982,19,7,0.265,287.5,20.49,56.2,38.35
19,1982,20,7,0.304,289.54,24.35,46.8,35.57
20,1982,21,7,0.333,290.45,25.07,47.24,36.15
21,1982,22,7,0.350,290.68,22.33,50.22,36.27
22,1982,23,7,0.354,290.57,19.15,54.24,36.69
23,1982,24,7,0.359,290.48,17.7,57.83,37.77
24,1982,25,7,0.371,290.53,20.21,59.97,40.09
25,1982,26,7,0.377,290.67,20.46,61.98,41.22
26,1982,27,7,0.385,291.04,21.78,63.83,42.8
27,1982,28,7,0.386,291.34,23.98,65.48,44.73
28,1982,29,7,0.392,291.91,30.81,59.97,45.39
29,1982,30,7,0.395,292.25,33.97,57.1,45.54
30,1982,31,7,0.392,292.58,31.15,53.28,42.22
31,1982,32,7,0.396,293.1,32.88,44.96,38.92
32,1982,33,7,0.401,293.29,35.71,38.12,36.92
33,1982,34,7,0.396,293.04,35.78,35.82,35.8
34,1982,35,7,0.388,292.86,38.49,29.19,33.84
35,1982,36,7,0.378,292.74,43.39,19.53,31.46
36,1982,37,7,0.360,292.07,44.78,15.16,29.97
37,1982,38,7,0.345,290.9,44.25,13.13,28.69
38,1982,39,7,0.323,289.37,40.33,13.92,27.13
39,1982,40,7,0.302,287.67,34.94,16.28,25.61
40,1982,41,7,0.286,286.19,34.73,14.55,24.64
41,1982,42,7,0.273,284.73,40.27,15.49,27.88
42,1982,43,7,0.254,283.09,44.96,16.74,30.85
43,1982,44,7,0.231,281.35,48.23,15.47,31.85
44,1982,45,7,0.209,279.65,50.79,14.5,32.64
45,1982,46,7,0.185,277.87,50.96,15.94,33.45
46,1982,47,7,0.160,275.71,49.72,19.49,34.61
47,1982,48,7,0.138,273.47,47.07,24.1,35.58
48,1982,49,7,0.122,271.13,44.03,28.51,36.27
49,1982,50,7,0.106,268.63,41.18,31.98,36.58
50,1982,51,7,0.090,265.94,38.02,37.9,37.96
51,1982,52,7,0.079,264.47,33.6,41.96,37.78
52,1983,01,7,0.073,264.21,29.75,43.86,36.81
53,1983,02,7,0.073,265.34,31.69,40.41,36.05
54,1983,03,7,0.078,267.05,35.99,35.67,35.83
55,1983,04,7,0.082,268.29,37.31,35.16,36.24
56,1983,05,7,0.085,268.77,34.91,38.65,36.78
57,1983,06,7,0.085,269.21,30.58,41.51,36.04
58,1983,07,7,0.086,270.34,28.15,41.23,34.69
59,1983,08,7,0.089,271.89,27.43,41.08,34.25
60,1983,09,7,0.095,273.15,27.5,43.01,35.26
61,1983,10,7,0.102,274.85,27.53,42.59,35.06
62,1983,11,7,0.108,276.04,26.71,45.41,36.06
63,1983,12,7,0.118,277.12,26.77,51.53,39.15
64,1983,13,7,0.132,278.15,26.77,56.92,41.85
65,1983,14,7,0.151,279.36,26.69,60.89,43.79
66,1983,15,7,0.174,280.89,27.55,61.52,44.54
67,1983,16,7,0.201,282.63,29.2,61.14,45.17
68,1983,17,7,0.232,284.32,30.98,61.03,46.01
69,1983,18,7,0.272,286.03,36.15,59.23,47.69
70,1983,19,7,0.311,287.38,40.27,57.65,48.96
71,1983,20,7,0.350,289.09,44.55,51.12,47.83
72,1983,21,7,0.377,289.96,45.21,51.41,48.31
73,1983,22,7,0.397,290.52,44.25,51.34,47.79
74,1983,23,7,0.409,290.81,44.02,51.78,47.9
75,1983,24,7,0.400,290.31,35.98,59.65,47.81
76,1983,25,7,0.396,290.38,30.98,61.94,46.46
77,1983,26,7,0.393,290.57,26.66,64.11,45.38
78,1983,27,7,0.387,290.65,20.86,70.03,45.45
79,1983,28,7,0.366,290.36,13.26,79.24,46.25
80,1983,29,7,0.350,290.0,9.92,85.13,47.52
81,1983,30,7,0.341,289.93,8.59,86.15,47.37
82,1983,31,7,0.355,290.31,12.51,82.6,47.56
83,1983,32,7,0.370,290.87,18.85,74.9,46.88
84,1983,33,7,0.391,291.55,29.31,62.02,45.67
85,1983,34,7,0.410,291.85,41.46,51.87,46.66
86,1983,35,7,0.420,292.31,53.48,35.83,44.65
87,1983,36,7,0.417,292.08,61.22,26.15,43.69
88,1983,37,7,0.398,291.4,61.32,20.99,41.15
89,1983,38,7,0.382,290.7,60.18,14.7,37.44
90,1983,39,7,0.364,289.31,58.46,13.93,36.2
91,1983,40,7,0.334,287.33,50.46,18.88,34.67
92,1983,41,7,0.300,285.24,42.53,23.36,32.94
93,1983,42,7,0.260,283.04,35.07,30.31,32.69
94,1983,43,7,0.218,280.94,28.26,33.32,30.79
95,1983,44,7,0.180,277.96,22.9,39.09,31.0
96,1983,45,7,0.150,274.85,20.57,43.32,31.95
97,1983,46,7,0.124,271.74,20.36,47.58,33.97
98,1983,47,7,0.104,269.04,21.02,50.94,35.98
99,1983,48,7,0.086,267.49,20.24,50.82,35.53
100,1983,49,7,0.072,265.85,17.24,51.46,34.35
101,1983,50,7,0.061,264.39,15.16,50.27,32.71
102,1983,51,7,0.058,264.32,18.05,44.71,31.38
103,1983,52,7,0.061,264.24,21.85,42.58,32.22
104,1984,01,7,0.065,263.85,24.87,44.75,34.81
105,1984,02,7,0.065,263.11,26.22,48.57,37.4
106,1984,03,7,0.062,261.79,24.6,55.99,40.3
107,1984,04,7,0.059,261.44,20.77,60.63,40.7
108,1984,05,7,0.058,260.97,17.12,66.74,41.93
109,1984,06,7,0.056,260.41,13.66,72.25,42.96
110,1984,07,7,0.055,260.46,11.63,75.2,43.41
111,1984,08,7,0.056,261.09,11.33,77.67,44.5
112,1984,09,7,0.060,262.52,11.37,79.25,45.31
113,1984,10,7,0.064,263.62,10.82,82.22,46.52
114,1984,11,7,0.069,265.74,10.62,84.08,47.35
115,1984,12,7,0.082,269.78,12.36,81.47,46.92
116,1984,13,7,0.102,273.69,14.55,77.86,46.21
117,1984,14,7,0.127,277.43,16.29,71.15,43.72
118,1984,15,7,0.145,280.3,14.77,65.4,40.09
119,1984,16,7,0.162,282.52,12.59,62.34,37.46
120,1984,17,7,0.181,284.51,10.43,59.39,34.91
121,1984,18,7,0.209,286.18,11.46,57.08,34.27
122,1984,19,7,0.240,286.95,12.52,60.34,36.43
123,1984,20,7,0.275,287.43,15.05,65.92,40.49
124,1984,21,7,0.310,287.94,17.47,71.13,44.3
125,1984,22,7,0.342,288.23,21.03,73.79,47.41
126,1984,23,7,0.359,287.88,23.07,79.73,51.4
127,1984,24,7,0.378,288.08,28.27,82.21,55.24
128,1984,25,7,0.397,288.78,33.79,79.45,56.62
129,1984,26,7,0.410,289.37,36.09,78.24,57.16
130,1984,27,7,0.420,290.14,37.2,76.41,56.81
131,1984,28,7,0.427,290.74,42.56,74.46,58.51
132,1984,29,7,0.434,291.35,49.31,68.78,59.05
133,1984,30,7,0.439,291.82,53.03,64.21,58.62
134,1984,31,7,0.434,291.9,49.96,63.09,56.53
135,1984,32,7,0.433,291.85,50.13,62.32,56.22
136,1984,33,7,0.429,291.35,49.31,65.04,57.17
137,1984,34,7,0.421,290.86,48.33,65.66,56.99
138,1984,35,7,0.405,290.23,46.94,62.04,54.49
139,1984,36,7,0.378,289.34,43.97,55.59,49.78
140,1984,37,7,0.351,288.53,41.94,47.55,44.75
141,1984,38,7,0.324,287.76,36.64,41.76,39.2
142,1984,39,7,0.295,286.35,29.53,41.43,35.48
143,1984,40,7,0.270,284.95,21.67,42.56,32.11
144,1984,41,7,0.251,283.62,19.65,39.62,29.64
145,1984,42,7,0.230,282.44,21.1,35.79,28.45
146,1984,43,7,0.202,280.63,20.87,35.87,28.37
147,1984,44,7,0.169,278.34,17.01,36.33,26.67
148,1984,45,7,0.143,275.07,16.75,41.14,28.94
149,1984,46,7,0.118,271.51,16.62,47.46,32.04
150,1984,47,7,0.099,269.0,18.31,49.73,34.02
151,1984,48,7,0.087,267.4,20.82,50.26,35.54
152,1984,49,7,0.082,267.91,22.99,42.06,32.52
153,1985,09,7,0.083,268.8,23.52,49.11,36.32
154,1985,10,7,0.086,268.21,22.5,57.73,40.11
155,1985,11,7,0.099,270.62,24.69,59.03,41.86
156,1985,12,7,0.118,273.7,27.97,59.51,43.74
157,1985,13,7,0.144,277.75,32.18,53.3,42.74
158,1985,14,7,0.173,281.85,35.46,41.63,38.55
159,1985,15,7,0.202,285.15,38.35,28.34,33.34
160,1985,16,7,0.230,287.4,39.86,22.48,31.17
161,1985,17,7,0.256,288.73,38.98,24.83,31.91
162,1985,18,7,0.280,289.74,37.57,26.36,31.96
163,1985,19,7,0.310,290.65,38.43,26.57,32.5
164,1985,20,7,0.342,291.23,40.29,29.7,34.99
165,1985,21,7,0.364,290.88,39.03,42.42,40.73
166,1985,22,7,0.379,290.58,36.86,50.66,43.76
167,1985,23,7,0.386,290.15,34.96,57.52,46.24
168,1985,24,7,0.381,289.25,30.0,69.61,49.81
169,1985,25,7,0.382,289.22,28.08,73.61,50.85
170,1985,26,7,0.387,289.63,27.34,73.26,50.3
171,1985,27,7,0.398,290.41,29.13,71.43,50.28
172,1985,28,7,0.408,291.29,35.13,66.57,50.85
173,1985,29,7,0.419,292.17,42.97,57.81,50.39
174,1985,30,7,0.429,292.99,48.77,49.48,49.12
175,1985,31,7,0.438,293.79,51.59,38.68,45.13
176,1985,32,7,0.449,294.42,57.46,28.45,42.95
177,1985,33,7,0.450,294.53,59.04,22.32,40.68
178,1985,34,7,0.441,294.21,57.6,21.44,39.52
179,1985,35,7,0.427,293.09,57.21,27.14,42.17
180,1985,36,7,0.418,291.67,61.55,31.39,46.47
181,1985,37,7,0.402,290.1,63.07,33.6,48.33
182,1985,38,7,0.387,288.78,62.01,32.81,47.41
183,1985,39,7,0.367,287.17,59.39,34.24,46.81
184,1985,40,7,0.337,285.0,50.88,42.69,46.78
185,1985,41,7,0.298,282.82,40.61,48.39,44.5
186,1985,42,7,0.262,281.22,34.74,46.91,40.82
187,1985,43,7,0.226,279.28,31.76,46.04,38.9
188,1985,44,7,0.194,277.05,29.51,45.49,37.5
189,1985,45,7,0.161,274.63,26.09,44.49,35.29
190,1985,46,7,0.121,271.13,18.14,50.43,34.28
191,1985,47,7,0.090,268.55,12.96,52.91,32.93
192,1985,48,7,0.071,266.83,11.68,53.2,32.44
193,1985,49,7,0.066,266.0,12.91,49.75,31.33
194,1985,50,7,0.063,265.57,15.11,43.47,29.29
195,1985,51,7,0.060,264.9,17.83,40.07,28.95
196,1985,52,7,0.056,263.8,17.16,42.32,29.74
197,1986,01,7,0.053,262.74,15.3,47.53,31.42
198,1986,02,7,0.056,262.66,18.19,49.04,33.61
199,1986,03,7,0.060,263.53,21.53,47.64,34.59
200,1986,04,7,0.064,264.14,23.44,49.43,36.43
201,1986,05,7,0.065,264.09,21.19,55.42,38.31
202,1986,06,7,0.065,264.4,18.95,58.63,38.79
203,1986,07,7,0.065,264.7,16.93,61.77,39.35
204,1986,08,7,0.063,265.65,15.3,63.92,39.61
205,1986,09,7,0.068,267.61,16.19,63.27,39.73
206,1986,10,7,0.082,270.42,19.78,58.1,38.94
207,1986,11,7,0.101,273.93,25.19,50.91,38.05
208,1986,12,7,0.123,277.6,29.95,45.34,37.64
209,1986,13,7,0.146,280.87,32.9,37.92,35.41
210,1986,14,7,0.178,283.53,37.68,30.32,34.0
211,1986,15,7,0.220,286.17,46.25,19.78,33.01
212,1986,16,7,0.264,288.26,53.43,15.2,34.31
213,1986,17,7,0.317,289.87,61.78,15.27,38.53
214,1986,18,7,0.364,290.83,68.1,17.46,42.78
215,1986,19,7,0.395,291.5,68.61,19.98,44.29
216,1986,20,7,0.417,292.32,67.77,20.34,44.06
217,1986,21,7,0.428,292.72,63.58,25.43,44.51
218,1986,22,7,0.438,292.89,60.71,28.73,44.72
219,1986,23,7,0.442,293.09,59.02,29.61,44.32
220,1986,24,7,0.436,293.16,54.36,30.11,42.24
221,1986,25,7,0.433,293.41,50.3,27.74,39.02
222,1986,26,7,0.428,293.51,45.02,28.83,36.93
223,1986,27,7,0.424,293.43,39.88,35.08,37.48
224,1986,28,7,0.412,293.29,35.18,41.35,38.26
225,1986,29,7,0.398,293.3,31.01,43.16,37.09
226,1986,30,7,0.397,293.57,32.03,41.41,36.72
227,1986,31,7,0.402,293.71,33.03,39.0,36.01
228,1986,32,7,0.403,293.2,32.95,44.17,38.56
229,1986,33,7,0.405,292.96,34.4,43.25,38.82
230,1986,34,7,0.405,292.44,37.13,44.63,40.88
231,1986,35,7,0.402,291.74,43.2,43.67,43.44
232,1986,36,7,0.399,290.92,51.72,39.15,45.43
233,1986,37,7,0.389,289.91,56.51,35.32,45.92
234,1986,38,7,0.379,288.96,58.26,31.2,44.73
235,1986,39,7,0.364,287.87,57.95,27.78,42.87
236,1986,40,7,0.347,286.66,54.99,26.13,40.56
