,year,week,provinceID,SMN,SMT,VCI,TCI,VHI
0,1982,01,16,0.066,266.54,40.85,32.55,36.7
1,1982,02,16,0.066,267.4,42.87,28.53,35.7
2,1982,03,16,0.065,268.03,42.87,25.85,34.36
3,1982,04,16,0.061,268.46,39.17,25.89,32.53
4,1982,05,16,0.053,268.39,33.9,27.52,30.71
5,1982,06,16,0.049,269.18,30.52,28.91,29.72
6,1982,07,16,0.048,270.53,27.67,30.51,29.09
7,1982,08,16,0.051,271.91,26.98,32.41,29.7
8,1982,09,16,0.053,273.31,26.03,35.85,30.94
9,1982,10,16,0.059,275.18,23.69,38.46,31.08
10,1982,11,16,0.074,277.73,25.67,36.79,31.23
11,1982,12,16,0.091,281.25,27.87,33.98,30.92
12,1982,13,16,0.105,284.38,28.45,32.58,30.52
13,1982,14,16,0.117,286.5,27.85,34.23,31.04
14,1982,15,16,0.124,288.01,24.66,41.11,32.89
15,1982,16,16,0.143,289.62,23.32,53.19,38.26
16,1982,17,16,0.170,291.28,23.84,67.68,45.76
17,1982,18,16,0.200,293.12,25.33,73.51,49.42
18,1982,19,16,0.230,294.67,24.9,78.03,51.47
19,1982,20,16,0.254,295.57,23.49,80.91,52.2
20,1982,21,16,0.273,295.94,23.42,83.6,53.51
21,1982,22,16,0.285,295.77,24.27,87.44,55.85
22,1982,23,16,0.289,295.31,25.81,91.64,58.72
23,1982,24,16,0.292,295.5,28.81,93.04,60.93
24,1982,25,16,0.292,295.8,31.5,94.72,63.11
25,1982,26,16,0.290,295.92,33.4,96.08,64.74
26,1982,27,16,0.285,296.06,33.77,95.95,64.86
27,1982,28,16,0.279,296.31,34.74,93.96,64.35
28,1982,29,16,0.286,296.97,41.1,90.18,65.64
29,1982,30,16,0.291,297.8,47.95,83.29,65.62
30,1982,31,16,0.289,298.56,52.89,75.37,64.13
31,1982,32,16,0.285,299.31,58.11,67.56,62.84
32,1982,33,16,0.282,299.77,62.62,62.2,62.41
33,1982,34,16,0.274,299.66,64.23,60.7,62.46
34,1982,35,16,0.264,299.3,64.88,56.48,60.68
35,1982,36,16,0.254,298.97,64.31,43.98,54.15
36,1982,37,16,0.238,298.03,60.52,35.58,48.05
37,1982,38,16,0.222,296.5,56.74,34.01,45.38
38,1982,39,16,0.205,294.65,51.8,34.09,42.94
39,1982,40,16,0.180,292.2,43.7,37.01,40.35
40,1982,41,16,0.156,289.59,36.89,37.11,37.0
41,1982,42,16,0.137,286.78,33.74,35.87,34.81
42,1982,43,16,0.121,283.99,31.67,35.4,33.54
43,1982,44,16,0.107,281.77,29.8,29.57,29.68
44,1982,45,16,0.092,279.75,26.94,26.93,26.93
45,1982,46,16,0.078,277.0,24.02,30.21,27.12
46,1982,47,16,0.063,273.14,19.81,39.9,29.85
47,1982,48,16,0.054,269.02,17.89,49.94,33.91
48,1982,49,16,0.047,265.55,16.57,53.93,35.25
49,1982,50,16,0.040,262.69,13.84,55.96,34.9
50,1982,51,16,0.039,261.06,15.66,55.35,35.51
51,1982,52,16,0.039,261.02,17.44,51.0,34.22
52,1983,01,16,0.037,261.71,20.07,48.39,34.23
53,1983,02,16,0.035,262.39,22.05,44.6,33.33
54,1983,03,16,0.036,262.76,23.42,41.46,32.44
55,1983,04,16,0.038,263.3,24.94,39.91,32.43
56,1983,05,16,0.040,264.76,26.25,37.2,31.72
57,1983,06,16,0.039,265.59,24.85,38.64,31.74
58,1983,07,16,0.042,266.9,24.24,40.54,32.39
59,1983,08,16,0.049,268.82,25.94,41.03,33.48
60,1983,09,16,0.058,271.85,28.19,40.23,34.21
61,1983,10,16,0.070,275.79,28.66,36.82,32.74
62,1983,11,16,0.084,280.23,29.95,28.77,29.36
63,1983,12,16,0.103,284.61,33.07,22.37,27.72
64,1983,13,16,0.129,289.07,38.58,15.17,26.88
65,1983,14,16,0.154,292.1,42.7,11.23,26.97
66,1983,15,16,0.176,294.24,44.35,10.73,27.54
67,1983,16,16,0.196,295.89,42.69,14.08,28.38
68,1983,17,16,0.217,297.27,40.65,21.34,31.0
69,1983,18,16,0.241,298.7,40.28,26.56,33.42
70,1983,19,16,0.262,299.41,37.7,35.77,36.74
71,1983,20,16,0.276,300.04,32.79,41.84,37.32
72,1983,21,16,0.286,300.7,29.23,44.52,36.88
73,1983,22,16,0.290,301.07,27.02,47.09,37.05
74,1983,23,16,0.289,301.1,26.76,49.52,38.14
75,1983,24,16,0.279,300.69,23.19,55.05,39.12
76,1983,25,16,0.269,300.68,21.15,58.69,39.92
77,1983,26,16,0.263,300.72,21.43,61.26,41.35
78,1983,27,16,0.254,300.5,20.56,64.85,42.7
79,1983,28,16,0.238,299.73,17.58,70.27,43.93
80,1983,29,16,0.223,298.94,15.07,76.18,45.63
